metodo,ruta,summary,description,summary_generico,description_generica,es_generica
POST,/Oauths/GenerateToken,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateToken,"Qué hace: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateToken. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en seguridad bancaria (/Oauths/GenerateToken). Perfil consumidor: seguridad bancaria, administradores de plataforma y auditoría técnica. Permiso requerido: acceso anónimo. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio seguridad bancaria dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Oauths/GenerateToken.",no,no,no
POST,/Oauths/GenerateTokenAsync,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateTokenAsync,"Qué hace: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateTokenAsync. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en seguridad bancaria (/Oauths/GenerateTokenAsync). Perfil consumidor: seguridad bancaria, administradores de plataforma y auditoría técnica. Permiso requerido: acceso anónimo. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio seguridad bancaria dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Oauths/GenerateTokenAsync.",no,no,no
POST,/SobreDigital/decrypt,Registro de sobre digital: registra una solicitud de decrypt dentro de sobre digital para la ruta /SobreDigital/decrypt,"Qué hace: registra una solicitud de decrypt dentro de sobre digital para la ruta /SobreDigital/decrypt. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en sobre digital (/SobreDigital/decrypt). Perfil consumidor: equipos funcionales y técnicos responsables de sobre digital. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio sobre digital dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /SobreDigital/decrypt.",no,no,no
POST,/SobreDigital/encrypt,Registro de sobre digital: registra una solicitud de encrypt dentro de sobre digital para la ruta /SobreDigital/encrypt,"Qué hace: registra una solicitud de encrypt dentro de sobre digital para la ruta /SobreDigital/encrypt. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en sobre digital (/SobreDigital/encrypt). Perfil consumidor: equipos funcionales y técnicos responsables de sobre digital. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio sobre digital dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /SobreDigital/encrypt.",no,no,no
POST,/SobreDigital/testRSA,Registro de sobre digital: registra una solicitud de test r s a dentro de sobre digital para la ruta /SobreDigital/testRSA,"Qué hace: registra una solicitud de test r s a dentro de sobre digital para la ruta /SobreDigital/testRSA. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en sobre digital (/SobreDigital/testRSA). Perfil consumidor: equipos funcionales y técnicos responsables de sobre digital. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio sobre digital dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /SobreDigital/testRSA.",no,no,no
GET,/TaskDefinitions,Consulta de task definitions: consulta get dentro de task definitions para la ruta /TaskDefinitions,"Qué hace: consulta get dentro de task definitions para la ruta /TaskDefinitions. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en task definitions (/TaskDefinitions). Perfil consumidor: equipos funcionales y técnicos responsables de task definitions. Permiso requerido: CanReadAch. Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio task definitions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /TaskDefinitions en decisiones operativas.",no,no,no
POST,/TaskDefinitions,Registro de task definitions: registra una solicitud de post dentro de task definitions para la ruta /TaskDefinitions,"Qué hace: registra una solicitud de post dentro de task definitions para la ruta /TaskDefinitions. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en task definitions (/TaskDefinitions). Perfil consumidor: equipos funcionales y técnicos responsables de task definitions. Permiso requerido: CanManageAch. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio task definitions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /TaskDefinitions.",no,no,no
DELETE,/TaskDefinitions/{id},Eliminación de task definitions: elimina recursos asociados a delete dentro de task definitions para la ruta /TaskDefinitions/{id},"Qué hace: elimina recursos asociados a delete dentro de task definitions para la ruta /TaskDefinitions/{id}. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en task definitions (/TaskDefinitions/{id}). Perfil consumidor: equipos funcionales y técnicos responsables de task definitions. Permiso requerido: CanManageAch. Tipo de operación: DELETE. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio task definitions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /TaskDefinitions/{id}.",no,no,no
GET,/TaskDefinitions/{id},Consulta de task definitions: consulta get dentro de task definitions para la ruta /TaskDefinitions/{id},"Qué hace: consulta get dentro de task definitions para la ruta /TaskDefinitions/{id}. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en task definitions (/TaskDefinitions/{id}). Perfil consumidor: equipos funcionales y técnicos responsables de task definitions. Permiso requerido: CanReadAch. Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio task definitions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /TaskDefinitions/{id} en decisiones operativas.",no,no,no
PUT,/TaskDefinitions/{id},Actualización de task definitions: actualiza información de put dentro de task definitions para la ruta /TaskDefinitions/{id},"Qué hace: actualiza información de put dentro de task definitions para la ruta /TaskDefinitions/{id}. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en task definitions (/TaskDefinitions/{id}). Perfil consumidor: equipos funcionales y técnicos responsables de task definitions. Permiso requerido: CanManageAch. Tipo de operación: PUT. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio task definitions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /TaskDefinitions/{id}.",no,no,no
GET,/Transactions,Consulta de transactions: consulta get all dentro de transactions para la ruta /Transactions,"Qué hace: consulta get all dentro de transactions para la ruta /Transactions. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en transactions (/Transactions). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /Transactions en decisiones operativas.",no,no,no
POST,/Transactions,Registro de transactions: registra una solicitud de create transaction dentro de transactions para la ruta /Transactions,"Qué hace: registra una solicitud de create transaction dentro de transactions para la ruta /Transactions. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en transactions (/Transactions). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 201, 400, 500. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Transactions.",no,no,no
POST,/Transactions/bulk,Registro de transactions: registra una solicitud de create transactions bulk dentro de transactions para la ruta /Transactions/bulk,"Qué hace: registra una solicitud de create transactions bulk dentro de transactions para la ruta /Transactions/bulk. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en transactions (/Transactions/bulk). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200, 400, 500. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Transactions/bulk.",no,no,no
POST,/Transactions/bulk/submit,Registro de transactions: registra una solicitud de submit bulk ingestion dentro de transactions para la ruta /Transactions/bulk/submit,"Qué hace: registra una solicitud de submit bulk ingestion dentro de transactions para la ruta /Transactions/bulk/submit. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en transactions (/Transactions/bulk/submit). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200, 400, 500. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Transactions/bulk/submit.",no,no,no
GET,/Transactions/company-entry-descriptions,Consulta de transactions: consulta get company entry descriptions dentro de transactions para la ruta /Transactions/company-entry-descriptions,"Qué hace: consulta get company entry descriptions dentro de transactions para la ruta /Transactions/company-entry-descriptions. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en transactions (/Transactions/company-entry-descriptions). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /Transactions/company-entry-descriptions en decisiones operativas.",no,no,no
GET,/Transactions/policies/preview,Consulta de transactions: consulta preview policy dentro de transactions para la ruta /Transactions/policies/preview,"Qué hace: consulta preview policy dentro de transactions para la ruta /Transactions/policies/preview. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en transactions (/Transactions/policies/preview). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /Transactions/policies/preview en decisiones operativas.",no,no,no
GET,/Transactions/{id},Consulta de transactions: consulta get by id dentro de transactions para la ruta /Transactions/{id},"Qué hace: consulta get by id dentro de transactions para la ruta /Transactions/{id}. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en transactions (/Transactions/{id}). Perfil consumidor: equipos funcionales y técnicos responsables de transactions. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200, 404. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio transactions dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /Transactions/{id} en decisiones operativas.",no,no,no
GET,/ach-cycles,Consulta de ciclos y lotes ACH: consulta get dentro de ciclos y lotes ACH para la ruta /ach-cycles,"Qué hace: consulta get dentro de ciclos y lotes ACH para la ruta /ach-cycles. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en ciclos y lotes ACH (/ach-cycles). Perfil consumidor: equipos funcionales y técnicos responsables de ciclos y lotes ACH. Permiso requerido: CanReadAch. Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: impacta la preparación y cierre de ciclos ACH con efectos en conciliación CENIT. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /ach-cycles en decisiones operativas.",no,no,no
POST,/ach-cycles,Registro de ciclos y lotes ACH: registra una solicitud de create dentro de ciclos y lotes ACH para la ruta /ach-cycles,"Qué hace: registra una solicitud de create dentro de ciclos y lotes ACH para la ruta /ach-cycles. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en ciclos y lotes ACH (/ach-cycles). Perfil consumidor: equipos funcionales y técnicos responsables de ciclos y lotes ACH. Permiso requerido: CanManageAch. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: impacta la preparación y cierre de ciclos ACH con efectos en conciliación CENIT. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /ach-cycles.",no,no,no
GET,/ach-cycles/exportable,Consulta de ciclos y lotes ACH: consulta get exportable dentro de ciclos y lotes ACH para la ruta /ach-cycles/exportable,"Qué hace: consulta get exportable dentro de ciclos y lotes ACH para la ruta /ach-cycles/exportable. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en ciclos y lotes ACH (/ach-cycles/exportable). Perfil consumidor: equipos funcionales y técnicos responsables de ciclos y lotes ACH. Permiso requerido: CanReadAch. Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: impacta la preparación y cierre de ciclos ACH con efectos en conciliación CENIT. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /ach-cycles/exportable en decisiones operativas.",no,no,no
