Metodo,Ruta,TieneSecurity,Security,Summary
POST,/api/integrations/mappingsets/compare,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de compare dentro de integration mapping sets para la ruta /api/integrations/mappingsets/compare
PUT,/api/users/login-lockout,Sí,[{'Bearer': []}],Actualización de login lockout settings: actualiza información de save dentro de login lockout settings para la ruta /api/users/login-lockout
POST,/Maintenance/seed,Sí,[{'Bearer': []}],Registro de maintenance: registra una solicitud de run db initializer dentro de maintenance para la ruta /Maintenance/seed
POST,/navigation/menu-items,Sí,[{'Bearer': []}],Registro de menu items: registra una solicitud de create menu item dentro de menu items para la ruta /navigation/menu-items
PUT,/navigation/menu-items/{id},Sí,[{'Bearer': []}],Actualización de menu items: actualiza información de update menu item dentro de menu items para la ruta /navigation/menu-items/{id}
DELETE,/navigation/menu-items/{id},Sí,[{'Bearer': []}],Eliminación de menu items: elimina recursos asociados a delete menu item dentro de menu items para la ruta /navigation/menu-items/{id}
POST,/nacha-config/perfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de create draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles
PUT,/nacha-config/perfiles/{id},Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
POST,/nacha-config/perfiles/{id}/clonar,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de clone dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/clonar
POST,/nacha-config/perfiles/{id}/validar,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de validate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/validar
POST,/nacha-config/perfiles/{id}/publicar,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de publish dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/publicar
POST,/nacha-config/perfiles/{id}/inactivar,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de inactivate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/inactivar
POST,/nacha-config/perfiles/{id}/archivar,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de archive dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/archivar
PUT,/nacha-config/perfiles/{id}/records/secuencia,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update sequence dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/records/secuencia
PUT,/nacha-config/perfiles/{id}/variantes/{variantId},Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update variant dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/variantes/{variantId}
PUT,/nacha-config/perfiles/{id}/fields/{fieldId},Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update field dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/fields/{fieldId}
PUT,/nacha-config/perfiles/{id}/rules/{ruleId},Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update rule dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/rules/{ruleId}
POST,/nacha-config/resolver-preview,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de resolver preview dentro de operación NACHA-M para la ruta /nacha-config/resolver-preview
POST,/Nacha/header,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de save header dentro de operación NACHA-M para la ruta /Nacha/header
POST,/nacha-record-definitions,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-record-definitions
PUT,/nacha-record-definitions/{id},Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
DELETE,/nacha-record-definitions/{id},Sí,[{'Bearer': []}],Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
POST,/nacha-layouts,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-layouts
PUT,/nacha-layouts/{id},Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
DELETE,/nacha-layouts/{id},Sí,[{'Bearer': []}],Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
POST,/nacha-security/operations/nacha/generate,Sí,[{'Bearer': []}],Generación de archivo NACHA plano
POST,/nacha-security/operations/nacha/generate-encrypted,Sí,[{'Bearer': []}],Generación de NACHA cifrado
POST,/nacha-security/operations/envelope/manual-encrypt,Sí,[{'Bearer': []}],Cifrado manual de archivo
POST,/nacha-security/operations/envelope/manual-decrypt,Sí,[{'Bearer': []}],Descifrado manual de sobre digital
POST,/nacha-security/operations/{operationId}/authorize-download,Sí,[{'Bearer': []}],Autorizar descarga de artefacto
POST,/NachaUpload/upload,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de upload nacha file dentro de operación NACHA-M para la ruta /NachaUpload/upload
POST,/api/navigation-logs,Sí,[{'Bearer': []}],Registro de navigation logs: registra una solicitud de add navigation log dentro de navigation logs para la ruta /api/navigation-logs
POST,/Oauths/GenerateToken,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateToken
POST,/Oauths/GenerateTokenAsync,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateTokenAsync
PUT,/api/users/password-rules,Sí,[{'Bearer': []}],Actualización de password rules: actualiza información de save rules dentro de password rules para la ruta /api/users/password-rules
PUT,/api/users/soap-integrations,Sí,[{'Bearer': []}],Actualización de soap integration settings: actualiza información de save dentro de soap integration settings para la ruta /api/users/soap-integrations
POST,/SobreDigital/encrypt,Sí,[{'Bearer': []}],Registro de sobre digital: registra una solicitud de encrypt dentro de sobre digital para la ruta /SobreDigital/encrypt
POST,/SobreDigital/decrypt,Sí,[{'Bearer': []}],Registro de sobre digital: registra una solicitud de decrypt dentro de sobre digital para la ruta /SobreDigital/decrypt
POST,/SobreDigital/testRSA,Sí,[{'Bearer': []}],Registro de sobre digital: registra una solicitud de test r s a dentro de sobre digital para la ruta /SobreDigital/testRSA
POST,/TaskDefinitions,Sí,[{'Bearer': []}],Registro de task definitions: registra una solicitud de post dentro de task definitions para la ruta /TaskDefinitions
PUT,/TaskDefinitions/{id},Sí,[{'Bearer': []}],Actualización de task definitions: actualiza información de put dentro de task definitions para la ruta /TaskDefinitions/{id}
DELETE,/TaskDefinitions/{id},Sí,[{'Bearer': []}],Eliminación de task definitions: elimina recursos asociados a delete dentro de task definitions para la ruta /TaskDefinitions/{id}
POST,/Transactions,Sí,[{'Bearer': []}],Registro operativo de transacción ACH individual
POST,/Transactions/bulk/submit,Sí,[{'Bearer': []}],Submit bulk legacy de ingestión transaccional
POST,/Transactions/bulk,Sí,[{'Bearer': []}],Registro masivo legacy de transacciones en línea
POST,/api/Users,Sí,[{'Bearer': []}],Registro de users: registra una solicitud de create user dentro de users para la ruta /api/Users
PUT,/api/Users/{id},Sí,[{'Bearer': []}],Actualización de users: actualiza información de update user dentro de users para la ruta /api/Users/{id}
DELETE,/api/Users/{id},Sí,[{'Bearer': []}],Eliminación de users: elimina recursos asociados a deactivate user dentro de users para la ruta /api/Users/{id}
POST,/api/Users/{id}/roles,Sí,[{'Bearer': []}],Registro de users: registra una solicitud de assign roles dentro de users para la ruta /api/Users/{id}/roles
