Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
POST,/nacha-config/perfiles/{id}/archivar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de archive dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/archivar
GET,/nacha-config/perfiles/{id}/historial,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta history dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/historial
GET,/nacha-config/perfiles/{id}/snapshots,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta snapshots dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/snapshots
PUT,/nacha-config/perfiles/{id}/records/secuencia,,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update sequence dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/records/secuencia
PUT,/nacha-config/perfiles/{id}/variantes/{variantId},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update variant dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/variantes/{variantId}
PUT,/nacha-config/perfiles/{id}/fields/{fieldId},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update field dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/fields/{fieldId}
PUT,/nacha-config/perfiles/{id}/rules/{ruleId},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update rule dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/rules/{ruleId}
POST,/nacha-config/resolver-preview,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de resolver preview dentro de operación NACHA-M para la ruta /nacha-config/resolver-preview
POST,/Nacha/header,,Nacha,No,None,Registro de operación NACHA-M: registra una solicitud de save header dentro de operación NACHA-M para la ruta /Nacha/header
GET,/NachaExport/{cycleId},,NachaExport,No,None,Exportar archivo NACHA de un ciclo
GET,/NachaExport/{cycleId}/sobre-digital,,NachaExport,No,None,Exportar NACHA con sobre digital
GET,/nacha-record-definitions,,NachaRecordDefinitions,No,None,Consulta de operación NACHA-M: consulta get all dentro de operación NACHA-M para la ruta /nacha-record-definitions
POST,/nacha-record-definitions,,NachaRecordDefinitions,No,None,Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-record-definitions
GET,/nacha-record-definitions/{id},,NachaRecordDefinitions,No,None,Consulta de operación NACHA-M: consulta get by id dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
PUT,/nacha-record-definitions/{id},,NachaRecordDefinitions,No,None,Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
DELETE,/nacha-record-definitions/{id},,NachaRecordDefinitions,No,None,Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
GET,/nacha-layouts,,NachaRecordLayouts,No,None,Consulta de operación NACHA-M: consulta get all dentro de operación NACHA-M para la ruta /nacha-layouts
POST,/nacha-layouts,,NachaRecordLayouts,No,None,Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-layouts
GET,/nacha-layouts/{id},,NachaRecordLayouts,No,None,Consulta de operación NACHA-M: consulta get by id dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
PUT,/nacha-layouts/{id},,NachaRecordLayouts,No,None,Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
DELETE,/nacha-layouts/{id},,NachaRecordLayouts,No,None,Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
POST,/nacha-security/operations/nacha/generate,,NachaSecurityOperations,No,None,Generación de archivo NACHA plano
POST,/nacha-security/operations/nacha/generate-encrypted,,NachaSecurityOperations,No,None,Generación de NACHA cifrado
POST,/nacha-security/operations/envelope/manual-encrypt,,NachaSecurityOperations,No,None,Cifrado manual de archivo
POST,/nacha-security/operations/envelope/manual-decrypt,,NachaSecurityOperations,No,None,Descifrado manual de sobre digital
GET,/nacha-security/operations/{operationId},,NachaSecurityOperations,No,None,Consulta de operación de seguridad
GET,/nacha-security/operations/audit,,NachaSecurityOperations,No,None,Bitácora de auditoría de seguridad NACHA
POST,/nacha-security/operations/{operationId}/authorize-download,,NachaSecurityOperations,No,None,Autorizar descarga de artefacto
GET,/nacha-security/operations/{operationId}/download,,NachaSecurityOperations,No,None,Descarga de artefacto autorizado
POST,/NachaUpload/upload,,NachaUpload,No,None,Registro de operación NACHA-M: registra una solicitud de upload nacha file dentro de operación NACHA-M para la ruta /NachaUpload/upload
GET,/NachaUpload/records,,NachaUpload,No,None,Consulta de operación NACHA-M: consulta get uploaded records dentro de operación NACHA-M para la ruta /NachaUpload/records
POST,/Oauths/GenerateToken,,Oauths,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateToken
POST,/Oauths/GenerateTokenAsync,,Oauths,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateTokenAsync
GET,/api/users/password-rules,,PasswordRules,No,None,Consulta de password rules: consulta get rules dentro de password rules para la ruta /api/users/password-rules
PUT,/api/users/password-rules,,PasswordRules,No,None,Actualización de password rules: actualiza información de save rules dentro de password rules para la ruta /api/users/password-rules
GET,/api/payment-rails/capability-registry/rails,,PaymentRailCapabilityRegistry,No,None,Inventario operativo de rieles en Capability Registry
GET,/api/payment-rails/capability-registry/rails/{railCode}/capabilities,,PaymentRailCapabilityRegistry,No,None,Matriz efectiva de capacidades por riel y fecha operativa
GET,/api/payment-rails/capability-registry/rails/{railCode}/capabilities/{capabilityCode},,PaymentRailCapabilityRegistry,No,None,Estado efectivo de una capacidad específica por riel
GET,/api/Permissions,,Permissions,No,None,Consulta de permissions: consulta get permissions dentro de permissions para la ruta /api/Permissions
GET,/api/reports/transactions/sent,,Reports,No,None,Reporte de transacciones enviadas
GET,/api/reports/transactions/received,,Reports,No,None,Reporte de transacciones recibidas
GET,/api/reports/transactions/sent/pdf,,Reports,No,None,PDF de transacciones enviadas
GET,/api/reports/transactions/received/pdf,,Reports,No,None,PDF de transacciones recibidas
GET,/api/reports/returns,,Reports,No,None,Reporte de devoluciones
GET,/api/reports/rejections,,Reports,No,None,Reporte de rechazos de archivo
GET,/api/reports/returns/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get returns pdf dentro de reportería ACH para la ruta /api/reports/returns/pdf
GET,/api/reports/rejections/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get rejections pdf dentro de reportería ACH para la ruta /api/reports/rejections/pdf
GET,/api/reports/nacha-files,,Reports,No,None,Reporte de archivos NACHA
GET,/api/reports/nacha-files/pdf,,Reports,No,None,PDF de archivos NACHA
GET,/api/reports/cycles,,Reports,No,None,Reporte de ciclos ACH
GET,/api/reports/cycles/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get cycles pdf dentro de reportería ACH para la ruta /api/reports/cycles/pdf
GET,/api/reports/reconciliation,,Reports,No,None,Reporte de conciliación
GET,/api/reports/reconciliation/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get reconciliation pdf dentro de reportería ACH para la ruta /api/reports/reconciliation/pdf
GET,/api/reports/audit,,Reports,No,None,Reporte de auditoría ACH
GET,/api/reports/audit/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get audit pdf dentro de reportería ACH para la ruta /api/reports/audit/pdf
GET,/api/reports/history,,Reports,No,None,Histórico de transacciones ACH
GET,/api/reports/history/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get history pdf dentro de reportería ACH para la ruta /api/reports/history/pdf
GET,/api/reports/traceability/pdf,,Reports,No,None,PDF de trazabilidad ACH
GET,/api/Roles,,Roles,No,None,Consulta de roles: consulta get roles dentro de roles para la ruta /api/Roles
GET,/api/users/soap-integrations,,SoapIntegrationSettings,No,None,Consulta de soap integration settings: consulta get dentro de soap integration settings para la ruta /api/users/soap-integrations
PUT,/api/users/soap-integrations,,SoapIntegrationSettings,No,None,Actualización de soap integration settings: actualiza información de save dentro de soap integration settings para la ruta /api/users/soap-integrations
GET,/Transactions,,Transactions,No,None,Listado operativo de transacciones ACH con filtros de ciclo y cámara
POST,/Transactions,,Transactions,No,None,Registro operativo de transacción ACH individual
GET,/Transactions/company-entry-descriptions,,Transactions,No,None,Catálogo de Company Entry Descriptions para originación ACH
GET,/Transactions/policies/preview,,Transactions,No,None,Prevalidación de políticas ACH antes de registrar transacción
POST,/Transactions/bulk/submit,,Transactions,No,None,Submit bulk legacy de ingestión transaccional
POST,/Transactions/bulk,,Transactions,No,None,Registro masivo legacy de transacciones en línea
GET,/Transactions/{id},,Transactions,No,None,Consulta puntual de transacción ACH por identificador
GET,/api/Users,,Users,No,None,Consulta de users: consulta get users dentro de users para la ruta /api/Users
POST,/api/Users,,Users,No,None,Registro de users: registra una solicitud de create user dentro de users para la ruta /api/Users
GET,/api/Users/validate-email-domain,,Users,No,None,Consulta de users: consulta validate email domain dentro de users para la ruta /api/Users/validate-email-domain
GET,/api/Users/{id},,Users,No,None,Consulta de users: consulta get user dentro de users para la ruta /api/Users/{id}
PUT,/api/Users/{id},,Users,No,None,Actualización de users: actualiza información de update user dentro de users para la ruta /api/Users/{id}
DELETE,/api/Users/{id},,Users,No,None,Eliminación de users: elimina recursos asociados a deactivate user dentro de users para la ruta /api/Users/{id}
POST,/api/Users/{id}/roles,,Users,No,None,Registro de users: registra una solicitud de assign roles dentro de users para la ruta /api/Users/{id}/roles
